2012/12/26,9.5,2.8,62
2012/12/27,1,1.4,59
2012/12/28,0,6.4,54
2012/12/29,0,3.3,62
2012/12/30,9,0,79
2012/12/31,2,0.9,68
2013/1/1,0.5,1.2,64
2013/1/2,2,4.3,67
2013/1/3,0,8.2,42
2013/1/4,1,6.6,54
2013/1/5,0.5,6.6,58
2013/1/6,3,2.3,67
2013/1/7,0,3.3,58
2013/1/8,0,8,54
2013/1/9,0,4.2,61
2013/1/10,0,6,52
2013/1/11,0,4.7,59
2013/1/12,0.5,0.3,71
2013/1/13,3.5,8.4,57
2013/1/14,0,2,64
2013/1/15,8,0,74
2013/1/16,1,6.3,70
2013/1/17,6.5,4.5,73
2013/1/18,10.5,2.4,74
2013/1/19,5.5,0.7,75
2013/1/20,18,0.2,84
2013/1/21,3.5,0,79
2013/1/22,0,6.3,69
2013/1/23,2,7.4,75
2013/1/24,6.5,4.1,72
2013/1/25,8.5,0.1,67
2013/1/26,0,0,59
2013/1/27,4.5,1.3,77
2013/1/28,1,7.7,72
2013/1/29,9,3.3,78
2013/1/30,5.5,0,79
2013/1/31,0.5,0.8,79
2013/2/1,0,0.2,72
2013/2/2,1,6.9,64
2013/2/3,0.5,4.3,62
2013/2/4,4,1.6,72
2013/2/5,6,5.5,56
2013/2/6,0,2.6,61
2013/2/7,14.5,0,77
2013/2/8,8.5,0.8,78
2013/2/9,4.5,4.4,73
2013/2/10,0,2.9,70
2013/2/11,0.5,2.7,71
2013/2/12,0,2.9,72
2013/2/13,0,8.8,70
2013/2/14,7,1.5,82
2013/2/15,0.5,7.4,61
2013/2/16,16.5,2.1,77
2013/2/17,10,3.8,69
2013/2/18,6,0,82
2013/2/19,3,2.9,75
2013/2/20,1,6.4,58
2013/2/21,6,6.6,59
2013/2/22,0.5,3,62
2013/2/23,0,8.4,58
2013/2/24,10.5,0,77
2013/2/25,12,8,71
2013/2/26,0.5,7.6,54
2013/2/27,0,6.2,65
2013/2/28,4,3.6,69
2013/3/1,4.5,0,79
2013/3/2,11,1.5,78
2013/3/3,6,0.5,73
2013/3/4,1,4.6,77
2013/3/5,0,5.1,66
2013/3/6,8.5,0.8,71
2013/3/7,1,0.8,76
2013/3/8,7.5,3.6,76
2013/3/9,13.5,2.5,72
2013/3/10,9.5,1.1,69
2013/3/11,4,5,61
2013/3/12,0,0.3,65
2013/3/13,10,0,84
2013/3/14,1,7.3,56
2013/3/15,0,3.7,59
2013/3/16,5.5,0.6,72
2013/3/17,0,8,58
2013/3/18,3,0,76
2013/3/19,0,7,64
2013/3/20,11.5,0,74
2013/3/21,7,4.5,66
2013/3/22,2.5,4.2,70
2013/3/23,0.5,6.6,55
2013/3/24,0,6.2,56
2013/3/25,0,9.9,58
2013/3/26,0.5,6.2,66
2013/3/27,0,9.9,54
2013/3/28,0,2.9,80
2013/3/29,0,3.3,60
2013/3/30,0,3.6,60
2013/3/31,0,6.4,52
2013/4/1,0,9.2,48
2013/4/2,0,4.1,64
2013/4/3,0.5,2.3,74
2013/4/4,0,10,56
2013/4/5,0,8.7,58
2013/4/6,1.5,1,65
2013/4/7,59.5,0.1,90
2013/4/8,2,2.9,61
2013/4/9,2.5,5.8,59
2013/4/10,1,4.5,59
2013/4/11,1,6.8,60
2013/4/12,4.5,3.4,71
2013/4/13,0.5,1.8,52
2013/4/14,4.5,4.3,68
2013/4/15,0.5,9.1,46
2013/4/16,0,5.9,51
2013/4/17,1,0.1,81
2013/4/18,1.5,2.9,71
2013/4/19,10.5,4,76
2013/4/20,1,7.7,57
2013/4/21,0,6.9,49
2013/4/22,0,10.8,45
2013/4/23,0,12,45
2013/4/24,3,0.5,59
2013/4/25,0,0.9,64
2013/4/26,2,0.5,72
2013/4/27,3.5,0,83
2013/4/28,10,0,81
2013/4/29,1.5,1.8,80
2013/4/30,3,0.1,81
2013/5/1,0.5,0,79
2013/5/2,1.5,1.6,71
2013/5/3,10.5,0,84
2013/5/4,1,0,86
2013/5/5,5,0.8,79
2013/5/6,12.5,0,81
2013/5/7,0,7.5,56
2013/5/8,0,9.6,55
2013/5/9,0,10.2,61
2013/5/10,0,12.1,57
2013/5/11,17,0,77
2013/5/12,0,1.4,79
2013/5/13,0,1.7,76
2013/5/14,0,0.8,79
2013/5/15,5,0,80
2013/5/16,0,6.4,84
2013/5/17,0,10.1,69
2013/5/18,0,6.1,70
2013/5/19,0,6.6,67
2013/5/20,0.5,0,78
2013/5/21,1,6.9,69
2013/5/22,4.5,1.2,81
2013/5/23,1,0,90
2013/5/24,0,8.9,74
2013/5/25,0,0.8,66
2013/5/26,0,12.9,61
2013/5/27,0,10.2,54
2013/5/28,0,5.1,60
2013/5/29,0,0.3,78
2013/5/30,1.5,7.2,71
2013/5/31,0,13.7,52
2013/6/1,0,13.6,56
2013/6/2,0,11,69
2013/6/3,0.5,8.1,76
2013/6/4,0,11.4,74
2013/6/5,0,4.3,79
2013/6/6,0,8,78
2013/6/7,0,12,64
2013/6/8,0,13.8,59
2013/6/9,0,11.7,73
2013/6/10,0,11.8,72
2013/6/11,0,14,67
2013/6/12,0,14,66
2013/6/13,0,13.8,69
2013/6/14,4,0,84
2013/6/15,30.5,5.6,87
2013/6/16,0,5.7,83
2013/6/17,8.5,1,79
2013/6/18,1.5,2.8,81
2013/6/19,0,1.3,86
2013/6/20,0,0.2,87
2013/6/21,0,0,84
2013/6/22,1.5,0.2,89
2013/6/23,0,11.4,70
2013/6/24,0,7.5,73
2013/6/25,0,9.3,75
2013/6/26,0,6.9,81
2013/6/27,15.5,0,91
2013/6/28,0,6.1,76
2013/6/29,0,14,69
2013/6/30,0,13.7,69
2013/7/1,0,11.9,70
2013/7/2,0,10.9,70
2013/7/3,1.5,0,85
2013/7/4,4.5,7.9,80
2013/7/5,0,1.6,83
2013/7/6,0,3.1,80
2013/7/7,0,12.2,78
2013/7/8,0,9.8,74
2013/7/9,0,4.1,76
2013/7/10,12.5,2.6,84
2013/7/11,0,5.3,77
2013/7/12,0,6.8,76
2013/7/13,0,12,70
2013/7/14,0,9.3,74
2013/7/15,0,10.5,76
2013/7/16,0,4.8,79
2013/7/17,0,12.8,73
2013/7/18,0,10.4,63
2013/7/19,0,7,69
2013/7/20,0,11.9,71
2013/7/21,0,12.9,63
2013/7/22,0,4.6,73
2013/7/23,0,12.9,67
2013/7/24,0,8.3,75
2013/7/25,5.5,0.1,80
2013/7/26,0,8,74
2013/7/27,11.5,2.6,77
2013/7/28,4,0,81
2013/7/29,15,1.4,84
2013/7/30,0,7.2,73
2013/7/31,0,2.5,72
2013/8/1,0,1.1,81
2013/8/2,0,9.2,77
2013/8/3,0,4.2,75
2013/8/4,0,7.8,70
2013/8/5,0,9.3,71
2013/8/6,0,10.9,75
2013/8/7,0,7.5,80
2013/8/8,0,1.5,75
2013/8/9,27,0,88
2013/8/10,0,4.3,86
2013/8/11,0,1.1,84
2013/8/12,7,3.2,85
2013/8/13,1,6.5,81
2013/8/14,0,3.6,81
2013/8/15,0,8.5,81
2013/8/16,0,2.3,75
2013/8/17,4.5,0,87
2013/8/18,15,2.3,83
2013/8/19,1,7.1,79
2013/8/20,16,4.7,79
2013/8/21,2,4.1,81
2013/8/22,0,5.6,78
2013/8/23,0,4.4,74
2013/8/24,11,3.6,85
2013/8/25,39.5,3.9,84
2013/8/26,0.5,5.7,74
2013/8/27,21.5,6.9,81
2013/8/28,14,7.2,64
2013/8/29,2,4.7,65
